# .test .cputime .temperature .time_mat1 .time_mat2
334 0.333803  7.305 0.003606 0.005666
335 0.337385  7.305 0.003573 0.005557
336 0.337310  7.305 0.003745 0.005595
337 0.338721  6.818 0.003744 0.005646
338 0.340407  6.331 0.003697 0.005720
339 0.340576  7.792 0.003632 0.005685
340 0.342446  7.305 0.003748 0.005742
341 0.344604  7.305 0.003669 0.005815
342 0.342682  7.792 0.003756 0.005954
343 0.342728  7.792 0.003800 0.005959
344 0.347360  8.279 0.003818 0.005948
345 0.345549  6.331 0.003756 0.005963
346 0.348294  6.818 0.003895 0.006063
347 0.350810  7.792 0.003800 0.006102
348 0.347904  6.818 0.004036 0.006168
349 0.348876  7.792 0.003843 0.006112
350 0.350830  6.818 0.003936 0.006212
351 0.356451  7.305 0.004020 0.006296
352 0.354886  8.279 0.004091 0.006330
353 0.353243  8.279 0.004046 0.006284
354 0.357026  6.818 0.004025 0.006410
355 0.356474  6.818 0.004099 0.006485
356 0.356600  7.792 0.004148 0.006411
357 0.357915  7.305 0.003990 0.006428
358 0.359433  7.792 0.004082 0.006498
359 0.362416  7.305 0.004177 0.006580
360 0.361521  7.792 0.004140 0.006628
361 0.361307  7.305 0.004100 0.006710
362 0.366813  7.305 0.004268 0.006651
363 0.363653  7.792 0.004135 0.006798
364 0.363988  7.792 0.004303 0.006842
365 0.372354  8.279 0.004324 0.006936
366 0.364964  7.792 0.004236 0.006848
367 0.368794  7.792 0.004249 0.007025
368 0.370393  7.305 0.004457 0.006916
369 0.367317  7.792 0.004447 0.006975
370 0.371000  7.792 0.004474 0.007013
371 0.373027  8.766 0.004413 0.007101
372 0.371682  8.279 0.004478 0.007226
373 0.375708  7.792 0.004498 0.007173
374 0.375101  7.305 0.004515 0.007174
375 0.378553  6.331 0.004445 0.007341
376 0.384804  8.279 0.004521 0.007199
377 0.374854  9.253 0.004497 0.007352
378 0.378338  8.279 0.004491 0.007432
379 0.383014  8.279 0.004702 0.007505
380 0.379524  7.792 0.004711 0.007462
381 0.381546  7.792 0.004698 0.007610
382 0.383033  6.818 0.004646 0.007615
383 0.386731  8.279 0.004624 0.007671
384 0.384236  8.279 0.004661 0.007741
385 0.382615  8.766 0.004672 0.007729
386 0.386307  7.792 0.004830 0.007714
387 0.394112  7.792 0.004766 0.007802
388 0.385614  8.766 0.004847 0.007819
389 0.388470  8.766 0.004790 0.007923
390 0.396521  8.279 0.004921 0.008084
391 0.391391  8.279 0.004826 0.007970
392 0.394469  8.766 0.004883 0.008090
393 0.393913  7.792 0.005108 0.008011
394 0.393007  7.792 0.004944 0.008037
395 0.396324  8.279 0.005011 0.008104
396 0.396532  9.253 0.005017 0.008213
397 0.399494  8.766 0.005099 0.008241
398 0.404542  8.279 0.005027 0.008338
399 0.397644  7.792 0.005107 0.008347
400 0.400297  8.766 0.005102 0.008304
401 0.406111  7.792 0.005067 0.008373
402 0.401043  8.766 0.005187 0.008518
403 0.403131  8.279 0.005261 0.008494
404 0.405580  7.792 0.005096 0.008585
405 0.405858  8.279 0.005235 0.008672
406 0.406361  8.279 0.005183 0.008651
407 0.410519  8.279 0.005343 0.008657
408 0.411283  8.766 0.005403 0.008754
409 0.412289  9.253 0.005267 0.008797
410 0.408227  8.279 0.005460 0.008889
411 0.415931  8.766 0.005326 0.008941
412 0.417486  8.766 0.005395 0.008918
413 0.412512  7.792 0.005515 0.008885
414 0.416372  9.253 0.005604 0.008972
415 0.417149  8.279 0.005537 0.009043
416 0.416308  8.766 0.005696 0.009113
417 0.419562  8.279 0.005601 0.009215
418 0.418169  9.253 0.005654 0.009230
419 0.423308  8.279 0.005650 0.009285
420 0.422050  8.279 0.005694 0.009227
421 0.422150  8.766 0.005762 0.009223
422 0.428654  8.766 0.005848 0.009354
423 0.423984  8.279 0.005661 0.009354
424 0.424985  8.279 0.005691 0.009434
425 0.431251  9.253 0.005695 0.009521
426 0.426851  7.792 0.005835 0.009598
427 0.428009  8.766 0.005817 0.009570
428 0.430218  9.740 0.005857 0.009699
429 0.429595  9.740 0.006126 0.009773
430 0.431072  9.253 0.005928 0.009689
431 0.433581  9.253 0.005809 0.009724
432 0.431670  9.253 0.005948 0.009814
433 0.440980  8.766 0.005967 0.009843
434 0.433861  8.279 0.005878 0.010000
435 0.435638  8.279 0.006008 0.010107
436 0.442043  8.766 0.006082 0.010040
437 0.437323  8.279 0.005994 0.010160
438 0.439727  8.766 0.006021 0.010178
439 0.439359 10.227 0.006124 0.010258
440 0.439504  8.766 0.006071 0.010262
441 0.441315  9.740 0.006235 0.010306
442 0.444354  9.740 0.006079 0.010380
443 0.444197  9.253 0.006208 0.010636
444 0.447544  8.279 0.006164 0.010450
445 0.443875  8.766 0.006187 0.010357
446 0.447654  9.253 0.006314 0.010480
447 0.456998  9.253 0.006264 0.010819
448 0.449705  9.740 0.006210 0.010736
449 0.448471  9.740 0.006387 0.010637
450 0.457925  9.253 0.006405 0.010674
451 0.451341  9.253 0.006255 0.010880
452 0.452121  9.253 0.006599 0.010815
453 0.451021  9.253 0.006436 0.011027
454 0.454784  9.740 0.006501 0.010969
455 0.458690  9.253 0.006304 0.010989
456 0.456610  8.766 0.006600 0.011050
457 0.456033  9.740 0.006442 0.011055
458 0.467542  9.740 0.006629 0.011110
459 0.460865  9.253 0.006554 0.011281
460 0.463152  9.740 0.006685 0.011174
461 0.461501  9.253 0.006592 0.011220
462 0.462183  9.740 0.006823 0.011194
463 0.464825  9.253 0.006624 0.011404
464 0.464521  9.253 0.006821 0.011462
465 0.465393  9.253 0.006774 0.011476
466 0.467980  8.279 0.006838 0.011516
467 0.467738  9.253 0.006674 0.011611
468 0.467722  8.766 0.007021 0.011555
469 0.473607  8.766 0.006815 0.011592
470 0.472569  9.740 0.007040 0.011769
471 0.474254 10.227 0.006997 0.011818
472 0.471473  8.279 0.007060 0.011820
473 0.472762  9.253 0.006985 0.011802
474 0.475606  8.279 0.007101 0.011802
475 0.475942  8.766 0.006862 0.011933
476 0.478906  9.740 0.007229 0.011950
477 0.479155  9.253 0.006906 0.012132
478 0.479408  9.740 0.007282 0.012193
479 0.484759  8.279 0.007154 0.012135
480 0.481838  8.766 0.007114 0.012198
481 0.478870 10.227 0.007390 0.012395
482 0.489925  9.253 0.007171 0.012314
